itemId,iid
0001047655,0
0001047736,1
0001047876,2
0001048228,3
0001049143,4
0001050079,5
0001050087,6
0001050184,7
0001052888,8
0001052934,9
0001052950,10
0001054090,11
0001055003,12
0002007916,13
0002155400,14
0002156105,15
000217068X,16
0002214113,17
0002214245,18
0002222876,19
0002222922,20
0002227789,21
0002227908,22
0002243822,23
0002243873,24
0002259559,25
0002312840,26
0002313197,27
0002313243,28
0002318482,29
0002433389,30
0002557738,31
0002570270,32
0002571099,33
0003252507,34
0003300277,35
0003750213,36
0003751155,37
000470472X,38
0004724747,39
0006168442,40
0006177875,41
0006178766,42
0006372651,43
0006472648,44
0006473245,45
0006473369,46
0006483232,47
0006483496,48
0006499155,49
0006510302,50
0006510345,51
0006510418,52
0006514626,53
0006514634,54
0006530451,55
0006530761,56
0006531210,57
0006546196,58
000654620X,59
0006546218,60
0006547001,61
0006551475,62
0006551742,63
0006552234,64
0006552269,65
0006552323,66
0006750656,67
0007108273,68
000710829X,69
0007108311,70
0007118481,71
0007120109,72
0007120133,73
0007122993,74
0007123841,75
0007124376,76
0007128673,77
000713018X,78
0007138865,79
0007138873,80
0007140029,81
0007148828,82
0007154518,83
0007155565,84
0007160585,85
0007169728,86
0007171218,87
0007172044,88
0007175469,89
0007176309,90
0007181418,91
0007182104,92
0007182228,93
0007192053,94
0007202776,95
0007206836,96
0007208022,97
0020255209,98
0020480202,99
0020547501,100
0020554303,101
0023674407,102
0025045415,103
0025306502,104
002531680X,105
0025474502,106
0025588907,107
0025705504,108
0026276615,109
0027085201,110
0028617355,111
0028627350,112
0028631919,113
002863196X,114
0028633407,115
0028637550,116
0028638352,117
0028642643,118
002864283X,119
0028643380,120
0028643518,121
0028643658,122
002872240X,123
0028974093,124
002902160X,125
0029079365,126
0029115744,127
0029117062,128
002916785X,129
0029177758,130
0029331552,131
0029342007,132
0030069572,133
0030206510,134
0030689236,135
0030706114,136
0049220292,137
0060000651,138
0060001453,139
0060001534,140
0060002050,141
0060002069,142
0060002077,143
006000486X,144
0060005696,145
0060006196,146
006000620X,147
0060006269,148
0060006307,149
0060009829,150
0060011327,151
0060011343,152
0060012234,153
0060084332,154
0060084383,155
0060084448,156
0060084537,157
0060088621,158
0060088664,159
006008877X,160
0060089466,161
0060090472,162
0060093862,163
0060093900,164
0060093927,165
0060094346,166
0060094397,167
0060094753,168
0060095288,169
0060099305,170
0060116137,171
006014713X,172
0060158034,173
0060162945,174
0060163216,175
0060166916,176
006016767X,177
0060167688,178
0060172878,179
0060173343,180
0060177659,181
0060177802,182
0060177969,183
0060182806,184
006018292X,185
0060182938,186
0060183454,187
0060188723,188
0060193654,189
0060193670,190
0060193921,191
0060194391,192
0060194413,193
006019443X,194
0060195185,195
0060197935,196
0060197943,197
0060197978,198
0060197986,199
0060198508,200
0060198516,201
006019880X,202
0060199237,203
006019930X,204
0060199512,205
0060211334,206
0060256532,207
0060256583,208
0060256672,209
0060256710,210
0060268298,211
0060277475,212
0060277807,213
0060278226,214
0060279001,215
0060287624,216
006029289X,217
0060294035,218
0060295015,219
006029776X,220
0060297891,221
0060298480,222
0060393556,223
0060393696,224
0060394072,225
0060394145,226
0060394153,227
0060394188,228
0060502916,229
0060503548,230
0060503580,231
0060507845,232
0060509112,233
0060510234,234
0060513640,235
0060513659,236
0060513934,237
0060514663,238
0060515066,239
0060518634,240
0060518944,241
0060519517,242
0060519541,243
0060519576,244
0060523867,245
0060523883,246
0060523921,247
0060525193,248
006052944X,249
006053043X,250
0060531053,251
0060531088,252
0060531126,253
0060531231,254
006053124X,255
006053463X,256
0060534699,257
0060535423,258
0060535512,259
0060535547,260
0060539836,261
0060539844,262
0060540427,263
0060540591,264
006054063X,265
0060541075,266
0060541415,267
0060541490,268
0060544767,269
0060545518,270
0060545739,271
0060550767,272
0060551127,273
0060556102,274
006055620X,275
0060556439,276
0060559802,277
0060560711,278
006056072X,279
0060560789,280
0060561602,281
0060561629,282
0060561661,283
006056167X,284
0060561785,285
0060567090,286
0060567252,287
0060569980,288
0060571578,289
0060575840,290
0060577053,291
0060577347,292
0060581743,293
0060581794,294
0060581999,295
0060582308,296
0060582499,297
0060582618,298
0060583002,299
0060583045,300
0060583150,301
0060586818,302
0060586826,303
0060587121,304
0060587296,305
0060591927,306
0060593199,307
0060593202,308
006059330X,309
0060596740,310
0060597593,311
0060597615,312
0060603402,313
0060609125,314
0060613513,315
0060629150,316
0060629169,317
0060630175,318
0060630353,319
006063040X,320
0060634472,321
0060634642,322
006063880X,323
0060654848,324
0060654988,325
0060677015,326
0060723912,327
0060723955,328
006072398X,329
0060733810,330
0060734442,331
0060735147,332
0060738898,333
0060739282,334
006074023X,335
0060740493,336
0060743905,337
0060744499,338
0060745088,339
0060749768,340
0060755342,341
0060756047,342
006075964X,343
0060759801,344
0060761296,345
0060761326,346
0060761393,347
0060765461,348
0060765704,349
0060766328,350
0060775599,351
0060776226,352
0060777052,353
0060780703,354
0060781580,355
0060782153,356
0060787171,357
0060791578,358
0060792167,359
0060792469,360
0060808241,361
0060808268,362
0060808381,363
006080839X,364
0060817518,365
0060817739,366
006082347X,367
0060827602,368
0060833874,369
0060838655,370
006083871X,371
0060838795,372
0060853956,373
006087631X,374
0060889934,375
0060891548,376
0060891785,377
0060892358,378
0060896442,379
0060912510,380
0060914068,381
0060916702,382
0060916826,383
0060923245,384
0060923466,385
0060923504,386
0060927895,387
0060927941,388
0060928239,389
0060928417,390
0060929081,391
006092909X,392
0060932767,393
0060932813,394
0060932902,395
0060933526,396
0060933577,397
0060937742,398
0060938463,399
0060953616,400
0060953683,401
0060958707,402
0060958723,403
