ts,uid,iid
1970-01-01 00:00:01,0,1043
1970-01-01 00:00:01,0,1044
1970-01-01 00:00:01,0,6435
1970-01-01 00:00:01,0,9755
1970-01-01 00:00:01,1,1340
1970-01-01 00:00:01,1,1717
1970-01-01 00:00:01,1,1886
1970-01-01 00:00:01,1,4071
1970-01-01 00:00:01,1,7521
1970-01-01 00:00:01,2,755
1970-01-01 00:00:01,2,2831
1970-01-01 00:00:01,2,3938
1970-01-01 00:00:01,2,4538
1970-01-01 00:00:01,3,3970
1970-01-01 00:00:01,3,14090
1970-01-01 00:00:01,3,14149
1970-01-01 00:00:01,4,628
1970-01-01 00:00:01,4,2122
1970-01-01 00:00:01,4,5055
1970-01-01 00:00:01,4,5057
1970-01-01 00:00:01,5,1297
1970-01-01 00:00:01,5,9624
1970-01-01 00:00:01,5,10132
1970-01-01 00:00:00,6,3614
1970-01-01 00:00:00,6,11377
1970-01-01 00:00:00,6,12365
1970-01-01 00:00:00,6,14626
1970-01-01 00:00:00,6,16684
1970-01-01 00:00:01,7,724
1970-01-01 00:00:01,7,804
1970-01-01 00:00:01,7,6985
1970-01-01 00:00:01,7,12644
1970-01-01 00:00:01,8,4428
1970-01-01 00:00:01,8,7658
1970-01-01 00:00:01,8,11638
1970-01-01 00:00:01,8,12617
1970-01-01 00:00:01,9,35
1970-01-01 00:00:01,9,1911
1970-01-01 00:00:01,9,4550
1970-01-01 00:00:01,9,7174
1970-01-01 00:00:01,10,49
1970-01-01 00:00:01,10,2706
1970-01-01 00:00:01,10,9209
1970-01-01 00:00:01,11,631
1970-01-01 00:00:01,11,2222
1970-01-01 00:00:01,11,7315
1970-01-01 00:00:01,11,7908
1970-01-01 00:00:01,12,5358
1970-01-01 00:00:01,12,6353
1970-01-01 00:00:01,12,8401
1970-01-01 00:00:01,12,9446
1970-01-01 00:00:01,12,9734
1970-01-01 00:00:01,13,12288
1970-01-01 00:00:01,13,12829
1970-01-01 00:00:01,13,13604
1970-01-01 00:00:01,13,13742
1970-01-01 00:00:01,13,14469
1970-01-01 00:00:01,14,121
1970-01-01 00:00:01,14,1908
1970-01-01 00:00:01,14,2573
1970-01-01 00:00:01,14,6566
1970-01-01 00:00:01,14,9471
1970-01-01 00:00:01,15,2698
1970-01-01 00:00:01,15,4285
1970-01-01 00:00:01,15,7176
1970-01-01 00:00:01,16,631
1970-01-01 00:00:01,16,1548
1970-01-01 00:00:01,16,6565
1970-01-01 00:00:01,16,9812
1970-01-01 00:00:01,16,14181
1970-01-01 00:00:00,17,4897
1970-01-01 00:00:00,17,17552
1970-01-01 00:00:01,17,156
1970-01-01 00:00:01,17,14481
1970-01-01 00:00:01,17,14534
1970-01-01 00:00:00,18,7908
1970-01-01 00:00:00,18,10575
1970-01-01 00:00:00,18,13674
1970-01-01 00:00:00,18,13809
1970-01-01 00:00:00,18,16903
1970-01-01 00:00:01,19,15389
1970-01-01 00:00:01,19,15571
1970-01-01 00:00:01,19,15850
1970-01-01 00:00:01,19,16295
1970-01-01 00:00:01,19,18183
1970-01-01 00:00:01,20,11986
1970-01-01 00:00:01,20,12956
1970-01-01 00:00:01,20,14568
1970-01-01 00:00:01,20,15054
1970-01-01 00:00:01,20,16593
1970-01-01 00:00:01,21,14
1970-01-01 00:00:01,21,1367
1970-01-01 00:00:01,21,9233
1970-01-01 00:00:01,21,13621
1970-01-01 00:00:01,21,14207
1970-01-01 00:00:00,22,5175
1970-01-01 00:00:00,22,12661
1970-01-01 00:00:01,22,11071
1970-01-01 00:00:01,23,3153
1970-01-01 00:00:01,23,6986
1970-01-01 00:00:01,23,7327
1970-01-01 00:00:01,23,12057
1970-01-01 00:00:01,24,542
1970-01-01 00:00:01,24,1197
1970-01-01 00:00:01,24,3662
1970-01-01 00:00:01,24,4643
1970-01-01 00:00:01,24,7758
1970-01-01 00:00:01,25,757
1970-01-01 00:00:01,25,7265
1970-01-01 00:00:01,25,11083
1970-01-01 00:00:01,25,11587
1970-01-01 00:00:00,26,12746
1970-01-01 00:00:00,26,14560
1970-01-01 00:00:00,26,17952
1970-01-01 00:00:00,26,18541
1970-01-01 00:00:01,26,4443
1970-01-01 00:00:00,27,2268
1970-01-01 00:00:00,27,4259
1970-01-01 00:00:00,27,16942
1970-01-01 00:00:00,27,17144
1970-01-01 00:00:01,28,9562
1970-01-01 00:00:01,28,10199
1970-01-01 00:00:01,28,15580
1970-01-01 00:00:01,28,16039
1970-01-01 00:00:01,28,16184
1970-01-01 00:00:01,29,15492
1970-01-01 00:00:01,29,16282
