userId,movieId,ts
1,2294,2001-01-06 23:38:11
1,2355,2001-01-06 23:38:11
1,1566,2001-01-06 23:38:50
3,3552,2000-12-31 21:34:19
3,104,2000-12-31 21:34:46
4,1214,2000-12-31 20:24:20
4,3418,2000-12-31 20:24:20
4,1036,2000-12-31 20:24:42
6,3565,2000-12-31 04:51:28
6,3717,2000-12-31 04:52:51
6,920,2000-12-31 05:00:51
7,380,2000-12-31 03:54:34
7,861,2000-12-31 03:54:34
7,1573,2000-12-31 03:54:34
8,1274,2000-12-31 03:31:02
8,3213,2000-12-31 03:31:02
8,1,2000-12-31 03:31:36
9,1356,2000-12-31 01:37:24
9,2278,2000-12-31 01:37:45
10,923,2001-01-27 23:36:15
10,1283,2001-01-27 23:36:54
10,1221,2001-01-27 23:37:13
12,3658,2000-12-30 23:50:16
12,923,2000-12-30 23:50:37
12,1252,2000-12-30 23:50:37
13,2,2000-12-30 18:56:03
13,2054,2000-12-30 18:56:03
14,296,2000-12-30 18:34:04
14,1263,2000-12-30 18:34:40
15,733,2000-12-30 21:44:58
15,2115,2000-12-30 21:45:20
15,2640,2000-12-30 21:45:20
16,2394,2000-12-30 11:12:00
16,2485,2000-12-30 11:12:35
17,316,2000-12-30 07:24:28
17,164,2000-12-30 07:26:06
17,707,2000-12-30 07:26:06
18,26,2000-12-30 06:22:15
18,838,2000-12-30 06:22:15
18,266,2000-12-30 06:23:32
19,1275,2001-02-25 18:02:38
19,3889,2001-02-25 18:02:38
20,3753,2001-12-29 23:38:36
20,1240,2001-12-29 23:39:41
20,1527,2001-12-29 23:39:41
22,2011,2001-05-29 15:15:52
22,1034,2001-05-29 15:17:52
24,1635,2001-04-01 20:29:55
24,425,2001-04-01 20:31:10
24,2757,2001-04-01 20:31:30
27,926,2000-12-29 22:46:58
27,1198,2000-12-29 22:48:12
27,1204,2000-12-29 22:48:12
28,916,2001-01-08 20:20:38
28,527,2001-01-08 20:21:20
28,912,2001-01-08 20:21:34
29,494,2000-12-30 00:32:22
29,2617,2000-12-30 00:32:22
30,589,2000-12-29 20:35:10
30,1265,2000-12-29 20:35:10
30,1216,2000-12-29 20:36:06
34,2888,2000-12-29 15:43:50
34,1888,2000-12-29 15:44:03
35,3703,2000-12-29 15:45:42
35,2947,2000-12-29 15:45:57
35,910,2000-12-29 15:48:51
36,247,2002-12-22 08:17:48
36,595,2002-12-22 08:18:29
36,1266,2002-12-22 08:18:29
37,587,2000-12-29 02:35:16
37,597,2000-12-29 02:35:16
38,2082,2000-12-28 23:33:27
38,455,2000-12-28 23:34:25
38,1380,2000-12-28 23:36:22
39,2763,2000-12-28 22:59:40
39,3114,2000-12-28 22:59:40
39,3745,2000-12-28 22:59:40
41,2546,2000-12-28 22:01:01
41,3578,2000-12-28 22:02:52
41,2719,2000-12-28 22:04:29
42,2003,2000-12-28 22:19:20
42,2144,2000-12-28 22:19:20
42,3087,2000-12-28 22:19:20
43,2961,2000-12-28 18:03:11
43,2763,2000-12-28 18:03:25
43,3114,2000-12-28 18:03:25
44,249,2001-10-30 03:20:09
44,920,2001-10-30 03:20:24
44,151,2001-10-30 03:20:54
47,1213,2000-12-28 04:45:08
47,249,2000-12-28 04:45:39
47,17,2000-12-28 04:46:14
49,3362,2001-01-06 20:45:39
49,296,2001-01-06 20:46:12
49,1193,2001-01-06 20:46:12
50,2135,2000-12-27 23:54:18
50,1544,2000-12-27 23:55:07
51,1517,2000-12-27 20:12:38
51,39,2000-12-27 20:13:04
51,348,2000-12-27 20:13:04
52,3785,2000-12-27 20:13:23
52,3861,2000-12-27 20:13:23
53,184,2000-12-28 07:34:16
53,1726,2000-12-28 07:35:15
54,3037,2000-12-27 19:20:16
54,34,2000-12-27 19:20:59
54,1079,2000-12-27 19:20:59
55,589,2000-12-27 20:19:06
55,457,2000-12-27 20:19:54
55,1784,2000-12-27 20:19:54
56,440,2000-12-27 17:58:17
56,2321,2000-12-27 17:58:17
56,2706,2000-12-27 17:58:17
57,1196,2000-12-27 16:54:59
57,1090,2000-12-27 16:55:32
57,1242,2000-12-27 16:55:32
59,953,2003-01-07 19:38:02
59,965,2003-01-07 19:38:02
